date,kickoff_cet,label
"# Kickoffs in CET/CEST, converted from ET (+6h). Source: roadtrips.com schedule.",,
2026-06-11,2026-06-11T21:00,M1 Mexico v South Africa (Grp A)
2026-06-12,2026-06-12T04:00,M2 South Korea v Czechia (Grp A)
2026-06-12,2026-06-12T21:00,M3 Canada v Bosnia and Herzegovina (Grp B)
2026-06-13,2026-06-13T03:00,M4 USA v Paraguay (Grp D)
2026-06-13,2026-06-13T21:00,M8 Qatar v Switzerland (Grp B)
2026-06-14,2026-06-14T00:00,M7 Brazil v Morocco (Grp C)
2026-06-14,2026-06-14T03:00,M5 Haiti v Scotland (Grp C)
2026-06-14,2026-06-14T06:00,M6 Australia v Türkiye (Grp D)
2026-06-14,2026-06-14T19:00,M10 Germany v Curaçao (Grp E)
2026-06-14,2026-06-14T22:00,M11 Netherlands v Japan (Grp F)
2026-06-15,2026-06-15T01:00,M9 Ivory Coast v Ecuador (Grp E)
2026-06-15,2026-06-15T04:00,M12 Sweden v Tunisia (Grp F)
2026-06-15,2026-06-15T18:00,M14 Spain v Cape Verde (Grp H)
2026-06-15,2026-06-15T21:00,M16 Belgium v Egypt (Grp G)
2026-06-16,2026-06-16T00:00,M13 Saudi Arabia v Uruguay (Grp H)
2026-06-16,2026-06-16T03:00,M15 Iran v New Zealand (Grp G)
2026-06-16,2026-06-16T21:00,M17 France v Senegal (Grp I)
2026-06-17,2026-06-17T00:00,M18 Iraq v Norway (Grp I)
2026-06-17,2026-06-17T03:00,M19 Argentina v Algeria (Grp J)
2026-06-17,2026-06-17T06:00,M20 Austria v Jordan (Grp J)
2026-06-17,2026-06-17T19:00,M23 Portugal v Congo DR (Grp K)
2026-06-17,2026-06-17T22:00,M22 England v Croatia (Grp L)
2026-06-18,2026-06-18T01:00,M21 Ghana v Panama (Grp L)
2026-06-18,2026-06-18T04:00,M24 Uzbekistan v Colombia (Grp K)
2026-06-18,2026-06-18T18:00,M25 Czechia v South Africa (Grp A)
2026-06-18,2026-06-18T21:00,M26 Switzerland v Bosnia and Herzegovina (Grp B)
2026-06-19,2026-06-19T00:00,M27 Canada v Qatar (Grp B)
2026-06-19,2026-06-19T03:00,M28 Mexico v South Korea (Grp A)
2026-06-19,2026-06-19T21:00,M32 USA v Australia (Grp D)
2026-06-20,2026-06-20T00:00,M30 Scotland v Morocco (Grp C)
2026-06-20,2026-06-20T03:00,M29 Brazil v Haiti (Grp C)
2026-06-20,2026-06-20T05:00,M31 Türkiye v Paraguay (Grp D)
2026-06-20,2026-06-20T19:00,M35 Netherlands v Sweden (Grp F)
2026-06-20,2026-06-20T22:00,M33 Germany v Ivory Coast (Grp E)
2026-06-21,2026-06-21T02:00,M34 Ecuador v Curaçao (Grp E)
2026-06-21,2026-06-21T06:00,M36 Tunisia v Japan (Grp F)
2026-06-21,2026-06-21T18:00,M38 Spain v Saudi Arabia (Grp H)
2026-06-21,2026-06-21T21:00,M39 Belgium v Iran (Grp G)
2026-06-22,2026-06-22T00:00,M37 Uruguay v Cape Verde (Grp H)
2026-06-22,2026-06-22T03:00,M40 New Zealand v Egypt (Grp G)
2026-06-22,2026-06-22T19:00,M43 Argentina v Austria (Grp J)
2026-06-22,2026-06-22T23:00,M42 France v Iraq (Grp I)
2026-06-23,2026-06-23T02:00,M41 Norway v Senegal (Grp I)
2026-06-23,2026-06-23T05:00,M44 Jordan v Algeria (Grp J)
2026-06-23,2026-06-23T19:00,M47 Portugal v Uzbekistan (Grp K)
2026-06-23,2026-06-23T22:00,M45 England v Ghana (Grp L)
2026-06-24,2026-06-24T01:00,M46 Panama v Croatia (Grp L)
2026-06-24,2026-06-24T04:00,M48 Colombia v Congo DR (Grp K)
2026-06-24,2026-06-24T21:00,M51 Switzerland v Canada (Grp B)
2026-06-24,2026-06-24T21:00,M52 Bosnia and Herzegovina v Qatar (Grp B)
2026-06-25,2026-06-25T00:00,M49 Scotland v Brazil (Grp C)
2026-06-25,2026-06-25T00:00,M50 Morocco v Haiti (Grp C)
2026-06-25,2026-06-25T03:00,M53 Czechia v Mexico (Grp A)
2026-06-25,2026-06-25T03:00,M54 South Africa v South Korea (Grp A)
2026-06-25,2026-06-25T22:00,M55 Curaçao v Ivory Coast (Grp E)
2026-06-25,2026-06-25T22:00,M56 Ecuador v Germany (Grp E)
2026-06-26,2026-06-26T01:00,M57 Japan v Sweden (Grp F)
2026-06-26,2026-06-26T01:00,M58 Tunisia v Netherlands (Grp F)
2026-06-26,2026-06-26T04:00,M59 Türkiye v USA (Grp D)
2026-06-26,2026-06-26T04:00,M60 Paraguay v Australia (Grp D)
2026-06-26,2026-06-26T21:00,M61 Norway v France (Grp I)
2026-06-26,2026-06-26T21:00,M62 Senegal v Iraq (Grp I)
2026-06-27,2026-06-27T02:00,M65 Cape Verde v Saudi Arabia (Grp H)
2026-06-27,2026-06-27T02:00,M66 Uruguay v Spain (Grp H)
2026-06-27,2026-06-27T05:00,M63 Egypt v Iran (Grp G)
2026-06-27,2026-06-27T05:00,M64 New Zealand v Belgium (Grp G)
2026-06-27,2026-06-27T23:00,M67 Panama v England (Grp L)
2026-06-27,2026-06-27T23:00,M68 Croatia v Ghana (Grp L)
2026-06-28,2026-06-28T01:30,M71 Colombia v Portugal (Grp K)
2026-06-28,2026-06-28T01:30,M72 Congo DR v Uzbekistan (Grp K)
2026-06-28,2026-06-28T04:00,M69 Algeria v Austria (Grp J)
2026-06-28,2026-06-28T04:00,M70 Jordan v Argentina (Grp J)
2026-06-28,2026-06-28T21:00,M73 South Africa v Canada
2026-06-29,2026-06-29T19:00,M76 Brazil v Japan
2026-06-29,2026-06-29T22:30,M74 Germany v Paraguay
2026-06-30,2026-06-30T03:00,M75 Netherlands v Morocco
2026-06-30,2026-06-30T19:00,M78 Ivory Coast v Norway
2026-06-30,2026-06-30T23:00,M77 France v Sweden
2026-07-01,2026-07-01T03:00,M79 Mexico v Ecuador
2026-07-01,2026-07-01T18:00,M80 England v DR Congo
2026-07-01,2026-07-01T22:00,M82 Belgium v Senegal
2026-07-02,2026-07-02T02:00,M81 USA v Bosnia and Herzegovina
2026-07-02,2026-07-02T21:00,M84 Spain v Austria
2026-07-03,2026-07-03T01:00,M83 Portugal v Croatia
2026-07-03,2026-07-03T05:00,M85 Switzerland v Algeria
2026-07-03,2026-07-03T20:00,M88 Australia v Egypt
2026-07-04,2026-07-04T00:00,M86 Argentina v Cape Verde
2026-07-04,2026-07-04T03:30,M87 Colombia v Ghana
2026-07-04,2026-07-04T19:00,M90 Canada v Morocco
2026-07-04,2026-07-04T23:00,M89 Paraguay v France
2026-07-05,2026-07-05T22:00,M91 Brazil v Norway
2026-07-06,2026-07-06T03:00,M92 Mexico v England
2026-07-06,2026-07-06T21:00,M93 Portugal v Spain
2026-07-07,2026-07-07T02:00,M94 USA v Belgium
2026-07-07,2026-07-07T18:00,M95 Argentina v Egypt
2026-07-07,2026-07-07T22:00,M96 Switzerland v Colombia
2026-07-09,2026-07-09T22:00,M97 France v Morocco
2026-07-10,2026-07-10T21:00,M98 Spain v Belgium
2026-07-11,2026-07-11T23:00,M99 Norway v England
2026-07-12,2026-07-12T03:00,M100 Argentina v Switzerland
2026-07-14,2026-07-14T21:00,M101 France v Spain
2026-07-15,2026-07-15T21:00,M102 England v Argentina
2026-07-18,2026-07-18T23:00,M103 France v England
2026-07-19,2026-07-19T21:00,M104 Spain v Argentina
